id,Type,fixed acidity,volatile acidity,"citric 
acid",residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
id0001,red,7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5
id0002,white,7.4,0.14,0.3,1.3,0.033,25,91,0.99268,3.53,0.39,10.6,6
id0003,white,6.6,0.18,0.28,1.7,0.041,53,161,0.99207,3.13,0.45,10.2,6
id0004,white,6.6,0.22,0.37,15.4,0.035,62,153,0.99845,3.02,0.4,9.3,5
id0005,white,6.5,0.18,0.26,1.4,0.041,40,141,0.9941,3.34,0.72,9.5,6
id0006,white,6.8,0.23,0.29,15.4,0.073,56,173,0.9984,3.06,0.41,8.7,6
id0007,white,7,0.15,0.3,13.3,0.049,46,120,0.99704,3.2,0.36,9.5,7
id0008,red,9.6,0.41,0.37,2.3,0.091,10,23,0.99786,3.24,0.56,10.5,5
id0009,white,6.1,0.36,0.16,6.4,0.037,36,198,0.9944,3.17,0.62,9.9,6
id0010,white,6.5,0.23,0.45,2.1,0.027,43,104,0.99054,3.02,0.52,11.3,6
id0011,red,8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14,6
id0012,red,7.5,0.52,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,7
id0013,white,6,0.18,0.27,1.5,0.089,40,143,0.9923,3.49,0.62,10.8,6
id0014,red,7.9,0.57,0.31,2,0.079,10,79,0.99677,3.29,0.69,9.5,6
id0015,white,7.6,0.48,0.31,9.4,0.046,6,194,0.99714,3.07,0.61,9.4,5
id0016,white,6.4,0.29,0.44,3.6,0.2,75,181,0.9942,3.02,0.41,9.1,5
id0017,red,8.1,0.33,0.44,1.5,0.042,6,12,0.99542,3.35,0.61,10.7,5
id0018,white,7,0.26,0.59,1.4,0.037,40,120,0.9918,3.34,0.41,11.1,7
id0019,white,7.7,0.39,0.28,4.9,0.035,36,109,0.9918,3.19,0.58,12.2,7
id0020,red,7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,8
id0021,red,7.5,0.55,0.24,2,0.078,10,28,0.9983,3.45,0.78,9.5,6
id0022,white,6.4,0.4,0.19,3.2,0.033,28,124,0.9904,3.22,0.54,12.7,7
id0023,white,6.6,0.34,0.4,8.1,0.046,68,170,0.99494,3.15,0.5,9.533333333,6
id0024,red,10.5,0.43,0.35,3.3,0.092,24,70,0.99798,3.21,0.69,10.5,6
id0025,white,6.5,0.39,0.35,1.6,0.049,10,164,0.99516,3.35,0.51,9.7,5
id0026,white,7.7,0.42,0.38,8.1,0.061,49,144,0.9966,3.4,0.58,11,6
id0027,white,6.4,0.21,0.28,5.9,0.047,29,101,0.99278,3.15,0.4,11,6
id0028,white,5,0.61,0.12,1.3,0.009,65,100,0.9874,3.26,0.37,13.5,5
id0029,red,5.9,0.395,0.13,2.4,0.056,14,28,0.99362,3.62,0.67,12.4,6
id0030,red,7.1,0.39,0.12,2.1,0.065,14,24,0.99252,3.3,0.53,13.3,6
id0031,red,7.9,0.31,0.32,1.9,0.066,14,36,0.99364,3.41,0.56,12.6,6
id0032,white,6.3,0.28,0.3,6.6,0.208,60,154,0.99478,3.1,0.4,9.4,6
id0033,white,7.4,0.2,0.37,1.2,0.028,28,89,0.99132,3.14,0.61,11.8,6
id0034,white,7.1,0.32,0.29,4,0.038,33,170,0.99463,3.27,0.64,10.2,6
id0035,white,5.7,0.26,0.3,1.8,0.039,30,105,0.98995,3.48,0.52,12.5,7
id0036,red,7.8,0.62,0.05,2.3,0.079,6,18,0.99735,3.29,0.63,9.3,5
id0037,white,7.2,0.47,0.16,5.9,0.048,14,125,0.99428,3.09,0.49,9.8,5
id0038,red,7.5,0.755,0,1.9,0.084,6,12,0.99672,3.34,0.49,9.7,4
id0039,red,9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,6
id0040,white,7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6
id0041,white,6.2,0.18,0.49,4.5,0.047,17,90,0.9919,3.27,0.37,11.6,6
id0042,red,8.7,0.765,0.22,2.3,0.064,9,42,0.9963,3.1,0.55,9.4,5
id0043,red,7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,5
id0044,white,9,0.245,0.38,5.9,0.045,52,159,0.995,2.93,0.35,10.2,6
id0045,red,12.6,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8,6
id0046,white,7.5,0.305,0.38,1.4,0.047,30,95,0.99158,3.22,0.52,11.5,7
id0047,white,6.5,0.17,0.31,1.5,0.041,34,121,0.99092,3.06,0.46,10.5,6
id0048,red,8.6,0.315,0.4,2.2,0.079,3,6,0.99512,3.27,0.67,11.9,6
